,Alter,Einkommen,Geschlecht,Zeit,KundeNr,Preis,Niederlassung
85,35,29395,1.0,28,K1598,,Baden-Württemberg
86,40,68282,1.0,15,K1320,,Hamburg
87,45,66573,0.0,52,K1414,,Nordrhein-Westfalen
88,39,44825,0.0,45,K1927,,Baden-Württemberg
89,38,40638,1.0,46,K1355,,Baden-Württemberg
90,61,75680,1.0,42,K1270,,Sachsen
91,37,39528,1.0,19,K1646,,Bayern
92,32,44270,1.0,45,K1730,,Niedersachsen
93,70,74005,0.0,42,K1493,,Baden-Württemberg
94,34,43060,1.0,32,K1181,,Nordrhein-Westfalen
95,60,71786,1.0,36,K1386,,Bayern
96,48,60260,0.0,30,K1817,,Berlin
97,37,45165,1.0,36,K1443,,Bayern
98,68,98083,1.0,22,K1432,,Berlin
99,44,43990,1.0,35,K1426,,Brandenburg
100,48,54965,1.0,30,K1650,,Niedersachsen
101,53,53797,1.0,24,K1695,,Hessen
102,61,75646,1.0,45,K1396,,Bayern
103,67,85750,0.0,41,K1570,,Nordrhein-Westfalen
104,49,49362,0.0,36,K1919,,Thüringen
105,40,39581,1.0,5,K1547,,Niedersachsen
106,53,72005,0.0,27,K1775,,Nordrhein-Westfalen
107,50,64799,1.0,35,K1567,,Thüringen
108,54,73773,1.0,23,K1391,,Berlin
109,49,51990,1.0,29,K1314,,Berlin
110,40,62840,0.0,35,K1774,,Nordrhein-Westfalen
111,30,46686,1.0,36,K1332,,Sachsen
112,35,42664,0.0,34,K1954,,Nordrhein-Westfalen
113,65,78027,1.0,12,K1617,,Niedersachsen
114,54,54771,0.0,26,K1632,,Baden-Württemberg
115,61,79526,1.0,62,K1981,,Baden-Württemberg
116,36,32281,1.0,52,K1201,,Hessen
117,32,31010,0.0,42,K1397,,Baden-Württemberg
118,68,78362,0.0,21,K1428,,Baden-Württemberg
119,51,56457,0.0,28,K1841,,Nordrhein-Westfalen
120,68,74860,0.0,20,K1634,,Bayern
121,54,68635,0.0,29,K1323,,Baden-Württemberg
122,61,61246,0.0,45,K1380,,Nordrhein-Westfalen
123,63,69114,0.0,39,K1183,,Hamburg
124,58,76153,0.0,25,K1890,,Bayern
125,41,39145,1.0,40,K1709,,Hessen
126,45,34526,1.0,17,K1901,,Baden-Württemberg
127,47,61173,1.0,37,K1244,,Niedersachsen
128,35,40070,1.0,47,K1683,,Bayern
129,47,61411,1.0,21,K1599,,Bayern
130,66,76131,0.0,42,K1464,,Sachsen
131,57,52580,1.0,29,K1170,,Bayern
132,31,12031,1.0,32,K1586,,Baden-Württemberg
133,63,74054,0.0,43,K1882,,Nordrhein-Westfalen
134,30,47051,1.0,23,K1704,,Baden-Württemberg
135,57,75169,0.0,44,K1935,,Thüringen
136,49,53203,0.0,44,K1411,,Hessen
137,64,74726,1.0,55,K1336,,Bayern
138,37,60309,0.0,38,K1950,,Baden-Württemberg
139,40,56212,1.0,39,K1154,,Bayern
140,50,46631,1.0,36,K1757,,Bayern
141,49,56491,0.0,25,K1959,,Baden-Württemberg
142,51,46713,0.0,34,K1447,,Berlin
143,37,37001,1.0,29,K1699,,Bayern
144,34,46611,1.0,34,K1990,,Berlin
145,36,39625,1.0,55,K1521,,Bayern
146,70,97897,1.0,60,K1318,,Berlin
147,43,68343,1.0,32,K1138,,Nordrhein-Westfalen
148,59,68648,1.0,32,K1136,,Nordrhein-Westfalen
149,34,42021,0.0,36,K1773,,Brandenburg
150,66,78363,1.0,26,K1689,,Baden-Württemberg
151,55,67416,1.0,31,K1619,,Nordrhein-Westfalen
152,57,75132,0.0,41,K1793,,Bayern
153,52,54277,1.0,48,K1214,,Nordrhein-Westfalen
154,62,83975,0.0,33,K1182,,Bayern
155,42,60427,1.0,44,K1716,,Sachsen
156,67,87075,1.0,59,K1748,,Niedersachsen
157,55,76311,1.0,41,K1187,,Baden-Württemberg
158,31,38298,1.0,3,K1623,,Nordrhein-Westfalen
159,33,35653,0.0,26,K1762,,Nordrhein-Westfalen
160,37,51507,0.0,34,K1401,,Niedersachsen
161,43,58161,1.0,31,K1612,,Nordrhein-Westfalen
162,30,38642,1.0,35,K1913,,Bayern
163,46,56617,0.0,31,K1480,,Hessen
164,37,38266,1.0,36,K1110,,Baden-Württemberg
165,41,52447,1.0,48,K1159,,Sachsen
166,48,63015,0.0,50,K1503,,Berlin
167,45,44514,1.0,37,K1562,,Berlin
168,33,20924,1.0,36,K1626,,Baden-Württemberg
169,62,77172,1.0,36,K1468,,Baden-Württemberg
170,67,68054,0.0,40,K1202,,Niedersachsen
171,46,57346,1.0,32,K1522,,Hamburg
172,52,74487,1.0,41,K1677,,Bayern
173,46,54308,1.0,32,K1957,,Brandenburg
174,48,68669,1.0,41,K1538,,Niedersachsen
175,54,70603,1.0,13,K1878,,Sachsen
176,44,46191,1.0,45,K1130,,Baden-Württemberg
177,63,66297,0.0,43,K1189,,Niedersachsen
178,47,46132,1.0,38,K1115,,Nordrhein-Westfalen
179,35,55240,0.0,24,K1436,,Nordrhein-Westfalen
180,66,78220,0.0,41,K1838,,Sachsen
181,52,67495,1.0,25,K1487,,Nordrhein-Westfalen
182,36,48519,1.0,30,K1809,,Baden-Württemberg
183,33,44999,0.0,18,K1918,,Baden-Württemberg
184,54,49679,0.0,24,K1223,,Sachsen
185,45,51504,1.0,50,K1641,,Baden-Württemberg
186,40,57367,1.0,31,K1466,,Baden-Württemberg
187,61,80750,0.0,24,K1134,,Sachsen
188,57,63456,0.0,45,K1160,,Bayern
189,52,45802,1.0,25,K1970,,Baden-Württemberg
190,53,58520,0.0,20,K1700,,Brandenburg
191,51,56254,0.0,17,K1344,,Berlin
192,68,77479,0.0,45,K1826,,Baden-Württemberg
193,68,80288,1.0,19,K1186,,Brandenburg
194,42,37936,0.0,30,K1364,,Sachsen
195,57,50221,1.0,47,K1591,,Bayern
196,38,48379,1.0,43,K1821,,Thüringen
197,69,98029,1.0,37,K1905,,Bayern
198,66,82388,0.0,34,K1886,,Hessen
199,53,69200,0.0,25,K1647,,Berlin
200,54,59334,0.0,34,K1431,,Baden-Württemberg
201,46,49472,1.0,36,K1639,,Bayern
202,50,61480,1.0,44,K1640,,Baden-Württemberg
203,33,54044,0.0,30,K1588,,Bayern
204,50,66940,0.0,32,K1867,,Thüringen
205,65,74982,0.0,27,K1638,,Hessen
206,65,62675,1.0,33,K1818,,Baden-Württemberg
207,65,85235,1.0,44,K1495,,Nordrhein-Westfalen
208,39,23109,1.0,39,K1600,,Sachsen
209,48,55111,1.0,31,K1587,,Nordrhein-Westfalen
210,64,74797,0.0,28,K1482,,Niedersachsen
211,63,66343,1.0,53,K1470,,Baden-Württemberg
212,50,58484,1.0,40,K1517,,Thüringen
213,66,88621,0.0,44,K1573,,Hessen
214,36,30932,0.0,43,K1514,,Baden-Württemberg
215,64,70306,1.0,36,K1112,,Berlin
216,53,49633,1.0,30,K1685,,Nordrhein-Westfalen
217,66,69331,0.0,32,K1260,,Baden-Württemberg
218,37,51799,0.0,40,K1985,,Baden-Württemberg
219,38,51013,1.0,49,K1530,,Nordrhein-Westfalen
220,60,77364,0.0,34,K1206,,Bayern
221,62,69519,0.0,31,K1304,,Sachsen
222,40,52774,0.0,41,K1529,,Hessen
223,56,70615,0.0,15,K1403,,Brandenburg
224,39,43354,0.0,28,K1989,,Bayern
225,68,89005,0.0,22,K1352,,Baden-Württemberg
226,35,39196,1.0,26,K1583,,Bayern
227,58,74550,0.0,32,K1410,,Niedersachsen
228,65,83198,1.0,47,K1421,,Berlin
229,33,45748,1.0,55,K1107,,Niedersachsen
230,47,79607,1.0,47,K1510,,Berlin
231,47,59352,1.0,14,K1847,,Baden-Württemberg
232,60,55814,1.0,27,K1365,,Baden-Württemberg
233,52,66108,1.0,41,K1472,,Thüringen
234,69,85175,1.0,31,K1263,,Nordrhein-Westfalen
235,42,54182,1.0,26,K1659,,Nordrhein-Westfalen
236,44,52096,1.0,45,K1934,,Nordrhein-Westfalen
237,55,88482,1.0,26,K1782,,Berlin
238,56,83787,0.0,27,K1485,,Niedersachsen
239,40,38822,0.0,18,K1731,,Berlin
240,56,66000,0.0,32,K1407,,Berlin
241,52,33297,0.0,18,K1537,,Nordrhein-Westfalen
242,65,68211,1.0,20,K1627,,Berlin
243,37,50176,1.0,31,K1509,,Bayern
244,38,48780,1.0,18,K1948,,Niedersachsen
245,37,41519,1.0,33,K1460,,Bayern
246,36,50243,1.0,48,K1569,,Nordrhein-Westfalen
247,31,26018,0.0,32,K1858,,Baden-Württemberg
248,38,44672,0.0,36,K1317,,Bayern
249,44,50981,0.0,21,K1554,,Sachsen
250,59,70012,1.0,39,K1184,,Baden-Württemberg
251,38,29787,1.0,47,K1253,,Hamburg
252,33,35350,1.0,24,K1533,,Hessen
253,63,60561,1.0,38,K1165,,Bayern
254,49,58250,1.0,25,K1765,,Baden-Württemberg
255,47,56933,1.0,42,K1909,,Baden-Württemberg
256,51,54872,0.0,40,K1693,,Bayern
257,64,85441,0.0,42,K1870,,Sachsen
258,60,67965,1.0,29,K1370,,Bayern
259,48,48300,1.0,28,K1238,,Baden-Württemberg
260,63,86198,0.0,32,K1813,,Nordrhein-Westfalen
261,54,53806,0.0,37,K1649,,Sachsen
262,57,78842,0.0,24,K1451,,Berlin
263,68,86965,0.0,15,K1926,,Berlin
264,47,50383,1.0,35,K1738,,Baden-Württemberg
265,31,10802,1.0,25,K1561,,Brandenburg
266,42,54815,0.0,34,K1605,,Baden-Württemberg
267,57,60410,1.0,33,K1535,,Baden-Württemberg
268,42,49912,1.0,26,K1550,,Sachsen
269,48,51462,1.0,20,K1755,,Niedersachsen
270,64,67482,1.0,10,K1277,,Bayern
271,40,59391,0.0,37,K1555,,Brandenburg
272,58,71796,1.0,26,K1419,,Berlin
273,64,85476,1.0,27,K1437,,Hamburg
274,67,94337,1.0,27,K1906,,Hessen
275,57,52369,1.0,42,K1195,,Thüringen
276,63,71786,1.0,40,K1939,,Bayern
277,40,39209,0.0,43,K1286,,Sachsen
278,41,50331,0.0,48,K1686,,Niedersachsen
279,33,47738,1.0,47,K1900,,Baden-Württemberg
280,57,51230,1.0,28,K1174,,Sachsen
281,62,64399,0.0,18,K1236,,Berlin
282,67,71626,1.0,29,K1439,,Bayern
283,35,50926,1.0,35,K1702,,Sachsen
284,51,66518,1.0,22,K1240,,Nordrhein-Westfalen
285,69,80266,1.0,36,K1269,,Niedersachsen
286,46,42528,0.0,44,K1133,,Nordrhein-Westfalen
287,63,75258,0.0,50,K1888,,Thüringen
288,44,50005,0.0,23,K1298,,Bayern
289,39,35225,0.0,48,K1974,,Niedersachsen
290,33,24242,1.0,42,K1820,,Berlin
291,42,54485,1.0,33,K1630,,Bayern
292,65,81926,1.0,48,K1486,,Bayern
293,40,51957,1.0,16,K1245,,Sachsen
294,36,47469,1.0,18,K1278,,Bayern
295,38,50640,1.0,28,K1111,,Bayern
296,51,55860,1.0,44,K1823,,Baden-Württemberg
297,66,68505,0.0,37,K1790,,Bayern
298,33,31654,1.0,31,K1178,,Bayern
299,44,54025,1.0,30,K1987,,Nordrhein-Westfalen
300,47,61371,1.0,42,K1433,,Bayern
301,33,37067,1.0,47,K1558,,Nordrhein-Westfalen
302,58,62171,1.0,26,K1250,,Baden-Württemberg
303,67,76785,1.0,15,K1339,,Hessen
304,40,35558,0.0,31,K1325,,Baden-Württemberg
305,32,20329,1.0,30,K1475,,Bayern
306,30,29694,1.0,30,K1916,,Niedersachsen
307,39,63156,1.0,41,K1237,,Berlin
308,59,71024,0.0,28,K1799,,Hessen
309,51,70533,1.0,7,K1969,,Baden-Württemberg
310,67,86403,1.0,29,K1290,,Hessen
311,47,67161,1.0,36,K1146,,Berlin
312,31,54066,0.0,45,K1652,,Bayern
313,36,29204,0.0,27,K1213,,Bayern
314,40,59102,0.0,29,K1708,,Bayern
315,69,78816,0.0,61,K1161,,Nordrhein-Westfalen
316,69,79027,1.0,24,K1499,,Berlin
317,38,66319,0.0,43,K1811,,Baden-Württemberg
318,51,71227,1.0,33,K1654,,Hessen
319,31,35916,1.0,34,K1129,,Bayern
320,38,44788,1.0,22,K1456,,Sachsen
321,65,73604,1.0,45,K1534,,Berlin
322,66,65216,1.0,13,K1539,,Baden-Württemberg
323,53,58268,0.0,57,K1156,,Niedersachsen
324,66,81322,1.0,42,K1631,,Thüringen
325,52,59034,0.0,22,K1921,,Berlin
326,46,54677,0.0,37,K1674,,Thüringen
327,44,49839,1.0,31,K1369,,Baden-Württemberg
328,53,70483,1.0,18,K1541,,Baden-Württemberg
329,70,86136,0.0,39,K1718,,Baden-Württemberg
330,41,46277,1.0,14,K1798,,Bayern
331,58,83377,1.0,25,K1457,,Nordrhein-Westfalen
332,43,38133,0.0,27,K1123,,Baden-Württemberg
333,43,61618,1.0,24,K1771,,Bayern
334,52,66931,1.0,26,K1687,,Baden-Württemberg
335,66,82714,0.0,16,K1188,,Nordrhein-Westfalen
336,40,49390,1.0,51,K1166,,Nordrhein-Westfalen
337,38,46307,1.0,33,K1377,,Hessen
338,57,84130,1.0,56,K1390,,Nordrhein-Westfalen
339,61,61255,0.0,22,K1800,,Niedersachsen
340,66,64549,1.0,26,K1851,,Sachsen
341,37,37026,0.0,52,K1117,,Thüringen
342,37,41986,0.0,42,K1287,,Bayern
343,58,63296,1.0,17,K1549,,Baden-Württemberg
344,51,67323,0.0,46,K1657,,Berlin
345,55,63084,0.0,34,K1328,,Baden-Württemberg
346,66,84640,1.0,34,K1618,,Berlin
347,57,81289,0.0,31,K1733,,Berlin
348,35,44388,1.0,30,K1692,,Baden-Württemberg
349,43,49717,1.0,46,K1797,,Niedersachsen
350,35,41206,0.0,39,K1628,,Sachsen
351,62,72706,0.0,50,K1769,,Nordrhein-Westfalen
352,54,72310,1.0,35,K1281,,Berlin
353,60,74192,1.0,25,K1946,,Berlin
354,31,40364,0.0,20,K1783,,Niedersachsen
355,62,77712,0.0,29,K1268,,Hessen
356,55,66068,1.0,35,K1353,,Hessen
357,69,78275,1.0,30,K1675,,Thüringen
358,65,75316,1.0,43,K1892,,Nordrhein-Westfalen
359,56,58982,1.0,16,K1179,,Bayern
360,38,46195,1.0,26,K1218,,Bayern
361,70,69727,1.0,35,K1740,,Brandenburg
362,66,79151,1.0,35,K1606,,Nordrhein-Westfalen
363,40,67881,0.0,41,K1209,,Baden-Württemberg
364,47,52534,0.0,50,K1219,,Berlin
365,36,41110,1.0,36,K1473,,Baden-Württemberg
366,67,75807,1.0,46,K1197,,Baden-Württemberg
367,40,39443,1.0,48,K1602,,Niedersachsen
368,68,64541,0.0,31,K1194,,Hessen
369,47,52745,0.0,24,K1441,,Hamburg
370,30,31232,0.0,52,K1984,,Nordrhein-Westfalen
371,70,83902,0.0,49,K1922,,Niedersachsen
372,45,59679,0.0,25,K1933,,Thüringen
373,32,28689,0.0,41,K1648,,Sachsen
374,44,59093,1.0,34,K1653,,Berlin
375,47,43409,0.0,32,K1199,,Sachsen
376,62,77682,0.0,28,K1116,,Nordrhein-Westfalen
377,42,34572,0.0,42,K1536,,Niedersachsen
378,66,77908,1.0,41,K1148,,Nordrhein-Westfalen
379,53,44536,1.0,36,K1147,,Nordrhein-Westfalen
380,44,48650,1.0,45,K1434,,Sachsen
381,46,52041,1.0,28,K1272,,Bayern
382,62,85386,1.0,35,K1884,,Baden-Württemberg
383,45,39956,1.0,34,K1642,,Baden-Württemberg
384,55,70713,1.0,40,K1840,,Berlin
385,30,42439,1.0,49,K1604,,Berlin
386,53,55541,1.0,50,K1283,,Sachsen
387,56,62958,1.0,28,K1688,,Bayern
388,70,76890,1.0,37,K1889,,Berlin
389,55,67803,1.0,39,K1698,,Baden-Württemberg
390,32,47052,1.0,30,K1282,,Nordrhein-Westfalen
391,59,70568,1.0,43,K1749,,Bayern
392,38,31258,0.0,39,K1815,,Berlin
393,38,42954,0.0,39,K1720,,Baden-Württemberg
394,61,84321,1.0,44,K1488,,Baden-Württemberg
395,46,60088,1.0,38,K1362,,Bayern
396,46,71444,1.0,23,K1839,,Niedersachsen
397,34,34255,1.0,34,K1440,,Sachsen
398,47,50532,1.0,32,K1656,,Brandenburg
399,63,79754,1.0,42,K1120,,Nordrhein-Westfalen
400,57,58633,1.0,32,K1108,,Thüringen
401,65,62351,0.0,40,K1516,,Bayern
402,53,72003,0.0,34,K1361,,Nordrhein-Westfalen
403,63,79995,1.0,23,K1556,,Hessen
404,35,33793,1.0,41,K1578,,Berlin
405,61,79736,1.0,31,K1802,,Niedersachsen
406,69,98883,1.0,29,K1498,,Hessen
407,68,92374,0.0,44,K1327,,Baden-Württemberg
408,70,92238,1.0,38,K1611,,Bayern
409,57,52972,0.0,47,K1672,,Sachsen
410,36,47024,1.0,26,K1525,,Baden-Württemberg
411,41,45176,0.0,33,K1429,,Berlin
412,49,52713,0.0,43,K1635,,Baden-Württemberg
413,50,43389,1.0,38,K1114,,Niedersachsen
414,69,79689,1.0,51,K1354,,Bayern
415,41,53765,0.0,21,K1127,,Niedersachsen
416,49,57703,1.0,27,K1461,,Berlin
417,65,73776,1.0,33,K1326,,Niedersachsen
418,41,56806,1.0,32,K1706,,Bayern
419,34,34204,1.0,43,K1871,,Nordrhein-Westfalen
420,59,85332,1.0,21,K1979,,Nordrhein-Westfalen
421,55,58756,1.0,34,K1633,,Nordrhein-Westfalen
422,61,81435,1.0,40,K1445,,Niedersachsen
423,39,63688,1.0,20,K1848,,Berlin
424,51,46823,0.0,41,K1624,,Bayern
425,50,67276,1.0,29,K1308,,Hessen
426,45,70632,0.0,52,K1342,,Sachsen
427,33,36719,1.0,35,K1198,,Nordrhein-Westfalen
428,66,75021,1.0,27,K1835,,Bayern
429,63,65737,0.0,49,K1545,,Nordrhein-Westfalen
430,56,66606,1.0,15,K1664,,Bayern
431,42,42036,1.0,36,K1389,,Bayern
432,64,82889,0.0,44,K1289,,Baden-Württemberg
433,55,55421,0.0,29,K1896,,Niedersachsen
434,59,59731,0.0,30,K1592,,Nordrhein-Westfalen
435,63,78072,1.0,30,K1258,,Bayern
436,65,91807,1.0,45,K1180,,Nordrhein-Westfalen
437,53,65662,1.0,48,K1761,,Thüringen
438,36,29607,1.0,23,K1736,,Bayern
439,56,70410,1.0,39,K1382,,Bayern
440,47,63119,0.0,51,K1173,,Bayern
441,42,44380,1.0,30,K1930,,Bayern
442,56,71443,1.0,31,K1293,,Bayern
443,66,66735,0.0,26,K1376,,Nordrhein-Westfalen
444,30,40283,1.0,50,K1767,,Baden-Württemberg
445,49,54140,1.0,29,K1816,,Baden-Württemberg
446,33,36223,0.0,52,K1341,,Baden-Württemberg
447,68,81230,0.0,46,K1193,,Hessen
448,57,65786,1.0,43,K1862,,Thüringen
449,43,59089,0.0,29,K1222,,Sachsen
450,39,58806,1.0,55,K1230,,Niedersachsen
451,68,80798,1.0,43,K1836,,Nordrhein-Westfalen
452,36,38942,0.0,35,K1394,,Nordrhein-Westfalen
453,36,46373,0.0,36,K1343,,Bayern
454,42,57149,0.0,35,K1105,,Hessen
455,42,52174,0.0,38,K1986,,Bayern
456,42,46178,1.0,28,K1572,,Hessen
457,34,26418,0.0,45,K1932,,Sachsen
458,41,55038,1.0,41,K1500,,Hessen
459,62,71314,0.0,37,K1636,,Sachsen
460,33,49527,0.0,25,K1231,,Baden-Württemberg
461,54,53583,0.0,39,K1383,,Nordrhein-Westfalen
462,39,56179,1.0,29,K1796,,Nordrhein-Westfalen
463,54,69210,1.0,40,K1221,,Nordrhein-Westfalen
464,33,28556,1.0,52,K1333,,Nordrhein-Westfalen
465,32,40946,0.0,28,K1727,,Hessen
466,50,56452,1.0,37,K1760,,Bayern
467,64,66775,1.0,11,K1703,,Berlin
468,51,41344,0.0,24,K1621,,Nordrhein-Westfalen
469,37,42547,1.0,45,K1379,,Berlin
470,60,59341,1.0,46,K1423,,Hessen
471,36,54638,0.0,31,K1711,,Sachsen
472,69,71732,0.0,26,K1249,,Hessen
473,47,41229,1.0,32,K1739,,Nordrhein-Westfalen
474,42,52868,0.0,22,K1663,,Baden-Württemberg
475,68,74031,0.0,41,K1914,,Baden-Württemberg
476,33,44278,0.0,51,K1850,,Nordrhein-Westfalen
477,54,71794,0.0,32,K1474,,Berlin
478,62,78050,0.0,49,K1373,,Baden-Württemberg
479,60,80978,1.0,28,K1728,,Nordrhein-Westfalen
480,45,51056,1.0,33,K1412,,Nordrhein-Westfalen
481,53,64432,1.0,41,K1528,,Baden-Württemberg
482,48,62342,0.0,32,K1415,,Niedersachsen
483,51,56363,0.0,35,K1459,,Hamburg
484,63,72396,1.0,48,K1151,,Niedersachsen
485,34,26142,0.0,50,K1454,,Brandenburg
486,67,87205,1.0,47,K1476,,Sachsen
487,58,65207,0.0,27,K1584,,Baden-Württemberg
488,39,48650,1.0,45,K1681,,Nordrhein-Westfalen
489,58,80403,1.0,25,K1366,,Baden-Württemberg
490,62,68355,0.0,35,K1300,,Thüringen
491,49,54754,1.0,44,K1995,,Berlin
492,53,59447,1.0,48,K1849,,Nordrhein-Westfalen
493,52,67687,1.0,47,K1212,,Baden-Württemberg
494,41,43844,0.0,51,K1971,,Niedersachsen
495,50,56874,1.0,32,K1164,,Berlin
496,41,45205,1.0,26,K1763,,Baden-Württemberg
497,56,66037,0.0,33,K1368,,Berlin
498,58,70703,1.0,38,K1673,,Hessen
499,32,57455,0.0,42,K1205,,Niedersachsen
500,60,78010,0.0,40,K1548,,Thüringen
501,54,54716,1.0,39,K1595,,Sachsen
502,68,74173,1.0,41,K1792,,Thüringen
503,45,56233,1.0,46,K1904,,Bayern
504,63,72230,1.0,25,K1745,,Nordrhein-Westfalen
505,63,68751,1.0,39,K1274,,Baden-Württemberg
506,63,81446,0.0,12,K1284,,Niedersachsen
507,52,63037,0.0,42,K1409,,Baden-Württemberg
508,55,63242,1.0,35,K1446,,Baden-Württemberg
509,36,49453,1.0,36,K1162,,Baden-Württemberg
510,30,46530,1.0,45,K1963,,Nordrhein-Westfalen
511,31,47601,1.0,29,K1254,,Hamburg
512,69,78663,1.0,37,K1229,,Niedersachsen
513,68,75303,0.0,27,K1808,,Nordrhein-Westfalen
514,51,57040,1.0,38,K1155,,Sachsen
515,45,44138,1.0,31,K1458,,Bayern
516,49,50246,1.0,42,K1928,,Sachsen
517,41,54152,0.0,15,K1247,,Berlin
518,70,71511,0.0,47,K1575,,Nordrhein-Westfalen
519,32,32659,1.0,27,K1504,,Bayern
520,63,74905,1.0,35,K1680,,Hessen
521,46,53575,0.0,54,K1425,,Hessen
522,32,34848,0.0,24,K1124,,Nordrhein-Westfalen
523,65,70533,1.0,38,K1897,,Nordrhein-Westfalen
524,51,53267,1.0,53,K1812,,Berlin
525,35,53193,0.0,33,K1828,,Thüringen
526,41,64926,0.0,39,K1512,,Hamburg
527,55,65102,0.0,22,K1662,,Bayern
528,53,64075,0.0,36,K1143,,Nordrhein-Westfalen
529,49,67290,0.0,30,K1280,,Hessen
530,41,35323,1.0,24,K1350,,Sachsen
531,59,63141,0.0,31,K1845,,Sachsen
532,67,78936,1.0,34,K1707,,Niedersachsen
533,51,76712,1.0,36,K1873,,Baden-Württemberg
534,44,48523,1.0,54,K1869,,Sachsen
535,37,41367,0.0,31,K1259,,Nordrhein-Westfalen
536,64,68522,1.0,43,K1392,,Sachsen
537,42,50054,1.0,36,K1855,,Nordrhein-Westfalen
